Date,Hours,NO
09/02/18,03-04,17551
09/02/18,04-05,17655
09/02/18,05-06,18136
09/02/18,06-07,19443
09/02/18,07-08,21042
09/02/18,08-09,21435
09/02/18,09-10,21380
09/02/18,10-11,21233
09/02/18,11-12,20972
09/02/18,12-13,20663
09/02/18,13-14,20694
09/02/18,14-15,20767
09/02/18,15-16,20714
09/02/18,16-17,20762
09/02/18,17-18,21007
09/02/18,18-19,20968
09/02/18,19-20,20486
09/02/18,20-21,20057
09/02/18,21-22,19534
09/02/18,22-23,18831
09/02/18,23-00,18379
10/02/18,00-01,17807
10/02/18,01-02,17499
10/02/18,02-03,17180
10/02/18,03-04,17009
10/02/18,04-05,17033
10/02/18,05-06,17225
10/02/18,06-07,17545
10/02/18,07-08,18049
10/02/18,08-09,18925
10/02/18,09-10,19408
10/02/18,10-11,19757
10/02/18,11-12,19870
10/02/18,12-13,19802
10/02/18,13-14,19497
10/02/18,14-15,19621
10/02/18,15-16,19570
10/02/18,16-17,19718
10/02/18,17-18,20055
10/02/18,18-19,20039
10/02/18,19-20,19700
10/02/18,20-21,19281
10/02/18,21-22,18809
10/02/18,22-23,18437
10/02/18,23-00,17992
11/02/18,00-01,17590
11/02/18,01-02,17260
11/02/18,02-03,17038
11/02/18,03-04,16998
11/02/18,04-05,17143
11/02/18,05-06,17136
11/02/18,06-07,17440
11/02/18,07-08,17855
11/02/18,08-09,18173
11/02/18,09-10,18826
11/02/18,10-11,19228
11/02/18,11-12,19404
11/02/18,12-13,19255
11/02/18,13-14,19146
11/02/18,14-15,19349
11/02/18,15-16,19476
11/02/18,16-17,19549
11/02/18,17-18,19902
11/02/18,18-19,19987
11/02/18,19-20,19918
11/02/18,20-21,19548
11/02/18,21-22,19288
11/02/18,22-23,18815
11/02/18,23-00,18216
12/02/18,00-01,17676
12/02/18,01-02,17436
12/02/18,02-03,17386
12/02/18,03-04,17475
12/02/18,04-05,17628
12/02/18,05-06,18120
12/02/18,06-07,19503
12/02/18,07-08,21151
12/02/18,08-09,21568
12/02/18,09-10,21528
12/02/18,10-11,21401
12/02/18,11-12,21257
12/02/18,12-13,21046
12/02/18,13-14,20871
12/02/18,14-15,20703
12/02/18,15-16,20704
12/02/18,16-17,20678
12/02/18,17-18,21119
12/02/18,18-19,21147
12/02/18,19-20,20893
12/02/18,20-21,20478
12/02/18,21-22,20082
12/02/18,22-23,19367
12/02/18,23-00,18486
13/02/18,00-01,18043
13/02/18,01-02,17856
13/02/18,02-03,17807
13/02/18,03-04,17771
13/02/18,04-05,17802
13/02/18,05-06,18550
13/02/18,06-07,20117
13/02/18,07-08,21606
13/02/18,08-09,21748
13/02/18,09-10,21699
13/02/18,10-11,21326
13/02/18,11-12,20896
13/02/18,12-13,20487
13/02/18,13-14,20294
13/02/18,14-15,20279
13/02/18,15-16,20329
13/02/18,16-17,20467
13/02/18,17-18,20917
13/02/18,18-19,20941
